state,week_start,building_percentage,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cumulative_cases,new_cases
Florida,2020-03-16,0.47671341300000003,-24.285714285714285,4.571428571428571,-12.428571428571429,-31.714285714285715,-26.428571428571427,10.285714285714286,1004.0,904.0
Florida,2020-03-23,0.329617204,-42.285714285714285,-16.714285714285715,-38.142857142857146,-52.57142857142857,-39.57142857142857,16.142857142857142,4246.0,3242.0
Florida,2020-03-30,0.282950259,-45.285714285714285,-20.142857142857142,-49.57142857142857,-58.285714285714285,-44.57142857142857,18.0,12350.0,8104.0
Florida,2020-04-06,0.266613182,-49.57142857142857,-25.857142857142858,-50.285714285714285,-60.714285714285715,-48.42857142857143,19.0,19895.0,7545.0
Florida,2020-04-13,0.261862093,-45.714285714285715,-22.714285714285715,-53.285714285714285,-58.857142857142854,-45.0,18.428571428571427,26314.0,6419.0
Florida,2020-04-20,0.258746796,-44.0,-21.857142857142858,-49.714285714285715,-57.42857142857143,-44.0,17.857142857142858,31532.0,5218.0
Florida,2020-04-27,0.258434225,-38.57142857142857,-16.285714285714285,-35.57142857142857,-52.857142857142854,-41.42857142857143,15.142857142857142,36078.0,4546.0
Florida,2020-05-04,0.22363458299999997,-32.857142857142854,-10.428571428571429,-29.285714285714285,-49.714285714285715,-37.57142857142857,14.0,40596.0,4518.0
Florida,2020-05-11,0.21468461499999997,-31.285714285714285,-13.571428571428571,-26.285714285714285,-48.714285714285715,-35.57142857142857,13.142857142857142,45588.0,4992.0
Florida,2020-05-18,0.22307195399999996,-27.428571428571427,-11.714285714285714,-24.285714285714285,-46.714285714285715,-33.285714285714285,12.142857142857142,50867.0,5279.0
Florida,2020-05-25,0.22465565000000004,-26.428571428571427,-12.571428571428571,-24.0,-45.857142857142854,-34.142857142857146,12.857142857142858,56163.0,5296.0
Florida,2020-06-01,0.26698826800000003,-23.857142857142858,-11.142857142857142,-33.142857142857146,-44.142857142857146,-29.428571428571427,11.285714285714286,63938.0,7775.0
Florida,2020-06-08,0.375502719,-21.0,-10.142857142857142,-13.714285714285714,-40.57142857142857,-27.571428571428573,9.428571428571429,75568.0,11630.0
Florida,2020-06-15,0.7408676989999999,-19.857142857142858,-7.571428571428571,-9.142857142857142,-39.0,-28.0,8.857142857142858,97291.0,21723.0
Florida,2020-06-22,0.686917835,-22.571428571428573,-10.142857142857142,-11.428571428571429,-38.857142857142854,-29.428571428571427,9.571428571428571,141075.0,43784.0
Florida,2020-06-29,0.41289670500000003,-23.428571428571427,-9.857142857142858,-18.0,-41.142857142857146,-35.57142857142857,10.714285714285714,200111.0,59036.0
Florida,2020-07-06,0.26734251600000003,-23.857142857142858,-11.857142857142858,-19.428571428571427,-40.714285714285715,-32.0,10.714285714285714,269811.0,69700.0
Florida,2020-07-13,0.27433370100000004,-24.142857142857142,-12.428571428571429,-19.571428571428573,-42.714285714285715,-32.285714285714285,10.428571428571429,350047.0,80236.0
Florida,2020-07-20,0.278803476,-24.428571428571427,-14.571428571428571,-21.571428571428573,-43.285714285714285,-32.285714285714285,10.285714285714286,423855.0,73808.0
Florida,2020-07-27,0.44358082099999996,-25.142857142857142,-13.571428571428571,-24.0,-43.57142857142857,-33.57142857142857,10.428571428571429,487132.0,63277.0
Florida,2020-08-03,0.4291295919999999,-23.714285714285715,-15.142857142857142,-18.857142857142858,-41.857142857142854,-32.285714285714285,9.428571428571429,532806.0,45674.0
Florida,2020-08-10,0.422263435,-23.714285714285715,-15.285714285714286,-19.142857142857142,-41.57142857142857,-32.42857142857143,9.142857142857142,573416.0,40610.0
Georgia,2020-02-24,1.0,7.714285714285714,3.2857142857142856,16.857142857142858,5.142857142857143,2.0,-1.1428571428571428,0.0,0.0
Georgia,2020-03-02,1.042045624,6.142857142857143,3.7142857142857144,17.428571428571427,2.142857142857143,1.2857142857142858,-0.2857142857142857,5.0,5.0
Georgia,2020-03-09,0.964663784,1.8571428571428572,15.0,31.857142857142858,-3.857142857142857,-2.5714285714285716,0.8571428571428571,99.0,94.0
Georgia,2020-03-16,0.6889816609999998,-22.142857142857142,7.142857142857143,17.142857142857142,-27.571428571428573,-26.285714285714285,10.714285714285714,621.0,522.0
Georgia,2020-03-23,0.7141046670000001,-36.142857142857146,-9.142857142857142,0.5714285714285714,-43.57142857142857,-38.714285714285715,15.714285714285714,2651.0,2030.0
Georgia,2020-03-30,0.6270128220000001,-38.142857142857146,-7.0,-11.571428571428571,-49.285714285714285,-44.42857142857143,17.428571428571427,6647.0,3996.0
Georgia,2020-04-06,0.610872969,-42.285714285714285,-15.571428571428571,-11.142857142857142,-53.285714285714285,-49.0,18.571428571428573,12452.0,5805.0
Georgia,2020-04-13,0.6582674820000002,-35.42857142857143,-13.428571428571429,-5.142857142857143,-50.285714285714285,-44.142857142857146,17.142857142857142,18301.0,5849.0
